Genus,MH01-A,MH95HP,MH10-B,MH99-A,MH10-A,ALT01HP,MH49-B,MH24HP,MH24RC,NEG03RC,ALT03HP,ALT03RC,MH53RC,NEG02HP,MH41HP,MH41RC,ALT02HP,ALT02RC,MH63HP,MilliQBA4
Streptococcus,38,79115,6225,26587,49127,129260,3471,77150,1005,16117,117759,275,1635,1277,103396,14276,106681,1232,62610,115893
Propionibacterium,26,3,36045,10535,9,18,52745,1,4258,178,17,78130,14313,463,4,20691,26,111547,8,317
Staphylococcus,5,3,6028,6691,6,3,3675,20,127738,1,27,20493,100531,173,11,23903,3,6709,3,46
Rothia,14,15479,1494,1214,44765,1693,1460,15074,160,1061,3722,60,240,26,1722,1413,1765,165,7133,55002
Haemophilus,2,11523,1622,2018,4927,4736,645,6613,55,2510,18108,33,253,15,6888,449,49417,182,18790,7642
Mycoplasma,5,60,3321,17009,12,144,378,16,599,43543,27,526,2011,65050,132,2170,9,350,6,5
Gemella,1,4231,113,3513,681,4005,105,2650,54,932,28504,16,174,29,14093,591,683,87,3852,5961
Stenoxybacter,5,1,17396,216,0,2,41260,1,0,1,24,2,29,2,1,20,3,0,3,1
Veillonella,5,6642,449,832,2376,4186,212,496,78,6847,872,18,51,7,1682,1460,8755,47,7963,15056
Corynebacterium,1,379,823,9488,20,40,888,24,791,629,132,14660,5982,523,97,18587,5,3668,12,85
Actinomyces,1,8761,320,476,7264,2224,189,5291,3,1505,363,5,91,4,374,2176,11401,38,3723,2937
Neisseria,1,2205,2289,393,838,509,8015,446,149,321,18828,40,338,21,3749,1286,16,12,5183,225
Granulicatella,2,4852,523,1531,4044,1252,313,1831,49,1139,6959,6,99,13,3164,929,6531,75,1975,5045
Prevotella,2,1571,329,1521,8,2476,46,201,90,8973,204,75,391,5685,527,2761,371,98,987,8636
Acinetobacter,15153,7,332,1121,0,2,265,0,40,1454,442,12,477,3674,0,310,1,36,3,1
Parascardovia,0,549,29,1445,25,417,73,13,15,1590,151,3,86,3,319,15698,55,17,1542,118
Novosphingobium,17907,0,42,389,0,0,2,0,0,0,0,1,0,1,0,7,1,3,0,0
Enhydrobacter,1,0,11267,23,1,0,6239,0,17,0,0,2,17,0,0,48,0,0,0,10
